-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 01/01/2022 
Location: Latitude  51.0561   Longitude 3.7252 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 24.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,T2M,WS10M,PRECTOTCORR,RH2M
2020,1,1,0.31,3.85,0.2,94.19
2020,1,2,3.5,5.78,0.25,96.0
2020,1,3,6.91,7.06,2.43,92.38
2020,1,4,4.55,4.88,0.04,94.69
2020,1,5,4.69,3.8,0.26,96.19
2020,1,6,3.32,5.98,0.2,89.62
2020,1,7,6.53,6.09,0.45,94.38
2020,1,8,9.45,5.25,4.71,96.88
2020,1,9,10.36,8.24,2.44,93.44
2020,1,10,5.73,4.56,1.72,94.69
2020,1,11,3.95,6.96,0.0,90.06
2020,1,12,5.49,7.78,0.53,92.94
2020,1,13,6.58,7.84,0.54,92.94
2020,1,14,9.06,12.68,5.03,83.94
2020,1,15,7.63,9.19,2.57,87.62
2020,1,16,6.79,6.95,0.05,90.75
2020,1,17,7.04,6.98,0.86,89.88
2020,1,18,3.62,4.67,0.31,91.31
2020,1,19,3.26,4.22,0.42,93.06
2020,1,20,2.56,1.27,0.09,94.56
2020,1,21,-0.0,2.01,0.04,92.75
2020,1,22,1.33,1.36,0.33,95.81
2020,1,23,2.17,2.3,0.13,94.69
2020,1,24,0.31,2.18,0.15,92.44
2020,1,25,0.94,2.74,0.16,96.44
2020,1,26,4.37,6.22,1.48,94.94
2020,1,27,7.24,7.53,6.84,94.19
2020,1,28,4.79,8.85,2.11,85.0
2020,1,29,4.12,6.92,0.18,88.44
2020,1,30,7.08,8.23,1.07,93.75
2020,1,31,10.51,8.02,0.62,92.0
2020,2,1,9.65,8.38,7.1,88.75
2020,2,2,9.36,7.82,5.57,92.81
2020,2,3,9.02,7.84,7.29,87.5
2020,2,4,5.58,7.93,2.44,88.0
2020,2,5,5.34,1.95,0.1,83.94
2020,2,6,3.23,2.15,0.0,87.56
2020,2,7,2.44,5.27,0.01,83.75
2020,2,8,5.98,5.88,2.79,95.5
2020,2,9,9.02,14.91,7.97,86.5
2020,2,10,8.17,13.79,5.6,76.0
2020,2,11,5.41,12.02,0.43,70.5
2020,2,12,4.79,7.82,0.28,79.38
2020,2,13,5.51,8.32,12.04,91.56
2020,2,14,6.73,5.06,0.27,87.19
2020,2,15,9.18,10.19,0.26,85.06
2020,2,16,11.85,14.1,11.21,82.38
2020,2,17,7.71,9.95,1.32,82.25
2020,2,18,6.76,9.09,4.73,82.94
2020,2,19,6.03,7.13,1.44,82.06
2020,2,20,7.72,9.66,4.63,86.25
2020,2,21,6.14,8.12,0.46,82.5
2020,2,22,7.59,10.12,1.39,91.0
2020,2,23,9.58,10.4,8.89,87.88
2020,2,24,8.6,8.65,5.26,85.75
2020,2,25,6.55,7.53,5.8,83.69
2020,2,26,3.84,7.27,5.8,86.5
2020,2,27,2.61,5.74,7.85,91.19
2020,2,28,3.96,7.87,5.12,90.0
2020,2,29,7.97,11.18,1.68,79.44
2020,3,1,5.93,8.14,0.97,84.62
2020,3,2,4.73,5.1,4.08,91.75
2020,3,3,4.55,4.91,1.34,88.31
2020,3,4,5.2,4.5,1.83,87.69
2020,3,5,5.52,5.27,19.01,94.81
2020,3,6,5.51,6.0,5.35,89.81
2020,3,7,6.12,5.4,0.13,81.5
2020,3,8,7.95,8.01,1.36,89.12
2020,3,9,7.15,6.37,2.86,84.44
2020,3,10,10.58,10.48,12.16,91.75
2020,3,11,12.4,8.51,8.61,87.0
2020,3,12,8.51,10.05,1.05,73.44
2020,3,13,7.05,6.59,0.46,81.38
2020,3,14,6.8,5.73,0.82,86.94
2020,3,15,9.3,6.31,0.16,84.75
2020,3,16,8.14,2.32,0.06,83.75
2020,3,17,6.78,4.21,0.02,77.0
2020,3,18,8.9,4.84,0.01,82.44
2020,3,19,9.54,2.03,0.36,85.75
2020,3,20,7.1,6.27,2.17,84.88
2020,3,21,4.98,7.67,0.06,76.44
2020,3,22,4.15,7.15,0.0,69.75
2020,3,23,3.47,5.41,0.0,66.56
2020,3,24,3.45,4.36,0.0,65.25
2020,3,25,3.95,4.18,0.0,65.44
2020,3,26,4.17,5.16,0.0,71.38
2020,3,27,6.1,4.76,0.0,78.5
2020,3,28,7.15,7.45,0.03,77.56
2020,3,29,3.75,9.02,0.25,66.25
2020,3,30,3.05,3.92,0.35,79.12
2020,3,31,4.51,4.8,0.06,73.75
2020,4,1,3.48,2.52,0.0,76.31
2020,4,2,6.08,4.02,0.31,82.25
2020,4,3,6.98,4.13,0.05,75.94
2020,4,4,8.01,3.32,0.0,70.19
2020,4,5,10.96,5.41,0.0,70.31
2020,4,6,11.94,5.48,0.41,79.62
2020,4,7,12.22,2.6,0.83,80.12
2020,4,8,14.9,2.17,0.62,71.44
2020,4,9,13.87,3.55,0.04,76.81
2020,4,10,13.35,4.18,0.04,74.56
2020,4,11,14.54,2.0,1.54,61.31
2020,4,12,14.4,2.78,0.07,64.75
2020,4,13,7.69,7.41,0.29,71.5
2020,4,14,6.17,3.55,0.27,71.25
2020,4,15,9.3,3.02,0.0,71.19
2020,4,16,12.41,2.5,0.0,72.88
2020,4,17,12.86,5.06,0.05,73.69
2020,4,18,13.12,2.56,7.66,81.69
2020,4,19,12.08,4.51,0.04,73.56
2020,4,20,11.74,7.71,0.0,59.75
2020,4,21,12.43,7.41,0.0,61.12
2020,4,22,13.41,5.88,0.0,64.69
2020,4,23,14.5,2.44,0.05,66.06
